date,category,chat_topic,count
1/11/2016,chat,Logging in and managing your account,134
1/11/2016,chat,SEO and metrics,54
1/11/2016,email,Adding and editing pages and blocks,316
1/11/2016,email,All Topics,1815
1/11/2016,email,"Billing, signup and payments",545
1/11/2016,email,"Commerce, and managing your store",90
1/11/2016,email,Designing your site and managing your template,265
1/11/2016,email,Domains and email services,203
1/11/2016,email,"Galleries, images, and videos",116
1/11/2016,email,Getting Started with Squarespace,119
1/11/2016,email,Logging in and managing your account,117
1/11/2016,email,SEO and metrics,44
1/11/2016,emails&chats,All Topics,4183
1/12/2016,chat,Adding and editing pages and blocks,476
1/12/2016,chat,All Topics,2231
1/12/2016,chat,"Billing, signup and payments",324
1/12/2016,chat,"Commerce, and managing your store",112
1/12/2016,chat,Designing your site and managing your template,372
1/12/2016,chat,Domains and email services,427
1/12/2016,chat,"Galleries, images, and videos",152
1/12/2016,chat,Getting Started with Squarespace,195
1/12/2016,chat,Logging in and managing your account,114
1/12/2016,chat,SEO and metrics,59
1/12/2016,email,Adding and editing pages and blocks,240
1/12/2016,email,All Topics,1366
1/12/2016,email,"Billing, signup and payments",397
1/12/2016,email,"Commerce, and managing your store",79
1/12/2016,email,Designing your site and managing your template,189
1/12/2016,email,Domains and email services,136
1/12/2016,email,"Galleries, images, and videos",90
1/12/2016,email,Getting Started with Squarespace,102
1/12/2016,email,Logging in and managing your account,90
1/12/2016,email,SEO and metrics,43
1/12/2016,emails&chats,All Topics,3597
1/13/2016,chat,Adding and editing pages and blocks,512
1/13/2016,chat,All Topics,2233
1/13/2016,chat,"Billing, signup and payments",268
1/13/2016,chat,"Commerce, and managing your store",120
1/13/2016,chat,Designing your site and managing your template,392
1/13/2016,chat,Domains and email services,382
1/13/2016,chat,"Galleries, images, and videos",155
1/13/2016,chat,Getting Started with Squarespace,204
1/13/2016,chat,Logging in and managing your account,140
1/13/2016,chat,SEO and metrics,60
1/13/2016,email,Adding and editing pages and blocks,239
1/13/2016,email,All Topics,1298
1/13/2016,email,"Billing, signup and payments",344
1/13/2016,email,"Commerce, and managing your store",120
1/13/2016,email,Designing your site and managing your template,169
1/13/2016,email,Domains and email services,130
1/13/2016,email,"Galleries, images, and videos",73
1/13/2016,email,Getting Started with Squarespace,95
1/13/2016,email,Logging in and managing your account,94
1/13/2016,email,SEO and metrics,34
1/13/2016,emails&chats,All Topics,3531
1/14/2016,chat,Adding and editing pages and blocks,413
1/14/2016,chat,All Topics,1749
1/14/2016,chat,"Billing, signup and payments",237
1/14/2016,chat,"Commerce, and managing your store",92
1/14/2016,chat,Designing your site and managing your template,284
1/14/2016,chat,Domains and email services,290
1/14/2016,chat,"Galleries, images, and videos",143
1/14/2016,chat,Getting Started with Squarespace,147
1/14/2016,chat,Logging in and managing your account,99
1/14/2016,chat,SEO and metrics,44
1/14/2016,email,Adding and editing pages and blocks,242
1/14/2016,email,All Topics,1355
1/14/2016,email,"Billing, signup and payments",361
1/14/2016,email,"Commerce, and managing your store",96
1/14/2016,email,Designing your site and managing your template,235
1/14/2016,email,Domains and email services,139
1/14/2016,email,"Galleries, images, and videos",64
1/14/2016,email,Getting Started with Squarespace,63
1/14/2016,email,Logging in and managing your account,104
1/14/2016,email,SEO and metrics,51
1/14/2016,emails&chats,All Topics,3104
1/15/2016,chat,Adding and editing pages and blocks,412
1/15/2016,chat,All Topics,1862
1/15/2016,chat,"Billing, signup and payments",260
1/15/2016,chat,"Commerce, and managing your store",105
1/15/2016,chat,Designing your site and managing your template,319
1/15/2016,chat,Domains and email services,352
1/15/2016,chat,"Galleries, images, and videos",119
1/15/2016,chat,Getting Started with Squarespace,148
1/15/2016,chat,Logging in and managing your account,100
1/15/2016,chat,SEO and metrics,47
1/15/2016,email,Adding and editing pages and blocks,235
1/15/2016,email,All Topics,1314
1/15/2016,email,"Billing, signup and payments",339
1/15/2016,email,"Commerce, and managing your store",76
1/15/2016,email,Designing your site and managing your template,200
1/15/2016,email,Domains and email services,156
1/15/2016,email,"Galleries, images, and videos",97
1/15/2016,email,Getting Started with Squarespace,78
1/15/2016,email,Logging in and managing your account,97
1/15/2016,email,SEO and metrics,36
1/15/2016,emails&chats,All Topics,3176
1/16/2016,chat,All Topics,1
1/16/2016,chat,Designing your site and managing your template,1
1/16/2016,email,Adding and editing pages and blocks,157
1/16/2016,email,All Topics,803
1/16/2016,email,"Billing, signup and payments",170
1/16/2016,email,"Commerce, and managing your store",61
1/16/2016,email,Designing your site and managing your template,122
1/16/2016,email,Domains and email services,86
1/16/2016,email,"Galleries, images, and videos",54
1/16/2016,email,Getting Started with Squarespace,82
1/16/2016,email,Logging in and managing your account,32
1/16/2016,email,SEO and metrics,39
1/16/2016,emails&chats,All Topics,804
1/17/2016,chat,All Topics,1
1/17/2016,chat,Domains and email services,1
1/17/2016,email,Adding and editing pages and blocks,152
1/17/2016,email,All Topics,744
1/17/2016,email,"Billing, signup and payments",173
1/17/2016,email,"Commerce, and managing your store",53
1/17/2016,email,Designing your site and managing your template,127
1/17/2016,email,Domains and email services,93
1/17/2016,email,"Galleries, images, and videos",57
1/17/2016,email,Getting Started with Squarespace,49
1/17/2016,email,Logging in and managing your account,27
1/17/2016,email,SEO and metrics,13
1/17/2016,emails&chats,All Topics,745
1/18/2016,chat,Adding and editing pages and blocks,216
1/18/2016,chat,All Topics,1008
1/18/2016,chat,"Billing, signup and payments",128
1/18/2016,chat,"Commerce, and managing your store",44
1/18/2016,chat,Designing your site and managing your template,172
1/18/2016,chat,Domains and email services,203
1/18/2016,chat,"Galleries, images, and videos",70
1/18/2016,chat,Getting Started with Squarespace,106
1/18/2016,chat,Logging in and managing your account,47
1/18/2016,chat,SEO and metrics,22
1/18/2016,email,Adding and editing pages and blocks,245
1/18/2016,email,All Topics,1518
1/18/2016,email,"Billing, signup and payments",383
1/18/2016,email,"Commerce, and managing your store",104
1/18/2016,email,Designing your site and managing your template,236
1/18/2016,email,Domains and email services,190
1/18/2016,email,"Galleries, images, and videos",108
1/18/2016,email,Getting Started with Squarespace,114
1/18/2016,email,Logging in and managing your account,106
1/18/2016,email,SEO and metrics,32
1/18/2016,emails&chats,All Topics,2526
1/19/2016,chat,Adding and editing pages and blocks,529
1/19/2016,chat,All Topics,2399
1/19/2016,chat,"Billing, signup and payments",356
1/19/2016,chat,"Commerce, and managing your store",130
1/19/2016,chat,Designing your site and managing your template,382
1/19/2016,chat,Domains and email services,415
1/19/2016,chat,"Galleries, images, and videos",168
1/19/2016,chat,Getting Started with Squarespace,223
1/19/2016,chat,Logging in and managing your account,132
1/19/2016,chat,SEO and metrics,64
1/19/2016,email,Adding and editing pages and blocks,379
1/19/2016,email,All Topics,2072
1/19/2016,email,"Billing, signup and payments",580
1/19/2016,email,"Commerce, and managing your store",96
1/19/2016,email,Designing your site and managing your template,304
1/19/2016,email,Domains and email services,235
1/19/2016,email,"Galleries, images, and videos",149
1/19/2016,email,Getting Started with Squarespace,123
1/19/2016,email,Logging in and managing your account,128
1/19/2016,email,SEO and metrics,78
1/19/2016,emails&chats,All Topics,4471
1/20/2016,chat,Adding and editing pages and blocks,492
1/20/2016,chat,All Topics,2257
1/20/2016,chat,"Billing, signup and payments",350
1/20/2016,chat,"Commerce, and managing your store",117
1/20/2016,chat,Designing your site and managing your template,379
1/20/2016,chat,Domains and email services,413
1/20/2016,chat,"Galleries, images, and videos",119
1/20/2016,chat,Getting Started with Squarespace,208
1/20/2016,chat,Logging in and managing your account,138
1/20/2016,chat,SEO and metrics,41
1/20/2016,email,Adding and editing pages and blocks,224
1/20/2016,email,All Topics,1419
1/20/2016,email,"Billing, signup and payments",425
1/20/2016,email,"Commerce, and managing your store",77
1/20/2016,email,Designing your site and managing your template,204
1/20/2016,email,Domains and email services,168
1/20/2016,email,"Galleries, images, and videos",82
1/20/2016,email,Getting Started with Squarespace,80
1/20/2016,email,Logging in and managing your account,105
1/20/2016,email,SEO and metrics,54
1/20/2016,emails&chats,All Topics,3676
1/21/2016,chat,Adding and editing pages and blocks,557
1/21/2016,chat,All Topics,2280
1/21/2016,chat,"Billing, signup and payments",325
1/21/2016,chat,"Commerce, and managing your store",117
1/21/2016,chat,Designing your site and managing your template,365
1/21/2016,chat,Domains and email services,390
1/21/2016,chat,"Galleries, images, and videos",147
1/21/2016,chat,Getting Started with Squarespace,178
1/21/2016,chat,Logging in and managing your account,155
1/21/2016,chat,SEO and metrics,46
1/21/2016,email,Adding and editing pages and blocks,242
1/21/2016,email,All Topics,1476
1/21/2016,email,"Billing, signup and payments",430
1/21/2016,email,"Commerce, and managing your store",75
1/21/2016,email,Designing your site and managing your template,209
1/21/2016,email,Domains and email services,166
1/21/2016,email,"Galleries, images, and videos",86
1/21/2016,email,Getting Started with Squarespace,98
1/21/2016,email,Logging in and managing your account,105
1/21/2016,email,SEO and metrics,65
1/21/2016,emails&chats,All Topics,3756
1/22/2016,chat,Adding and editing pages and blocks,492
1/22/2016,chat,All Topics,1857
1/22/2016,chat,"Billing, signup and payments",252
1/22/2016,chat,"Commerce, and managing your store",97
1/22/2016,chat,Designing your site and managing your template,320
1/22/2016,chat,Domains and email services,317
1/22/2016,chat,"Galleries, images, and videos",101
1/22/2016,chat,Getting Started with Squarespace,157
1/22/2016,chat,Logging in and managing your account,75
1/22/2016,chat,SEO and metrics,46
1/22/2016,email,Adding and editing pages and blocks,191
1/22/2016,email,All Topics,1193
1/22/2016,email,"Billing, signup and payments",347
1/22/2016,email,"Commerce, and managing your store",63
1/22/2016,email,Designing your site and managing your template,159
1/22/2016,email,Domains and email services,132
1/22/2016,email,"Galleries, images, and videos",64
1/22/2016,email,Getting Started with Squarespace,102
1/22/2016,email,Logging in and managing your account,91
1/22/2016,email,SEO and metrics,44
1/22/2016,emails&chats,All Topics,3050
1/23/2016,chat,Adding and editing pages and blocks,1
1/23/2016,chat,All Topics,1
1/23/2016,email,Adding and editing pages and blocks,163
1/23/2016,email,All Topics,824
1/23/2016,email,"Billing, signup and payments",188
1/23/2016,email,"Commerce, and managing your store",57
1/23/2016,email,Designing your site and managing your template,113
1/23/2016,email,Domains and email services,99
1/23/2016,email,"Galleries, images, and videos",56
1/23/2016,email,Getting Started with Squarespace,71
1/23/2016,email,Logging in and managing your account,45
1/23/2016,email,SEO and metrics,32
1/23/2016,emails&chats,All Topics,825
1/24/2016,email,Adding and editing pages and blocks,199
1/24/2016,email,All Topics,953
1/24/2016,email,"Billing, signup and payments",196
1/24/2016,email,"Commerce, and managing your store",69
1/24/2016,email,Designing your site and managing your template,124
1/24/2016,email,Domains and email services,132
1/24/2016,email,"Galleries, images, and videos",66
1/24/2016,email,Getting Started with Squarespace,78
1/24/2016,email,Logging in and managing your account,66
1/24/2016,email,SEO and metrics,23
1/24/2016,emails&chats,All Topics,953
1/25/2016,chat,Adding and editing pages and blocks,501
1/25/2016,chat,All Topics,2513
1/25/2016,chat,"Billing, signup and payments",411
1/25/2016,chat,"Commerce, and managing your store",115
1/25/2016,chat,Designing your site and managing your template,428
1/25/2016,chat,Domains and email services,500
1/25/2016,chat,"Galleries, images, and videos",163
1/25/2016,chat,Getting Started with Squarespace,229
1/25/2016,chat,Logging in and managing your account,128
1/25/2016,chat,SEO and metrics,38
1/25/2016,email,Adding and editing pages and blocks,330
1/25/2016,email,All Topics,2036
1/25/2016,email,"Billing, signup and payments",464
1/25/2016,email,"Commerce, and managing your store",257
1/25/2016,email,Designing your site and managing your template,272
1/25/2016,email,Domains and email services,252
1/25/2016,email,"Galleries, images, and videos",130
1/25/2016,email,Getting Started with Squarespace,117
1/25/2016,email,Logging in and managing your account,131
1/25/2016,email,SEO and metrics,83
1/25/2016,emails&chats,All Topics,4549
1/26/2016,chat,Adding and editing pages and blocks,525
1/26/2016,chat,All Topics,2301
1/26/2016,chat,"Billing, signup and payments",317
1/26/2016,chat,"Commerce, and managing your store",126
1/26/2016,chat,Designing your site and managing your template,340
1/26/2016,chat,Domains and email services,428
1/26/2016,chat,"Galleries, images, and videos",148
1/26/2016,chat,Getting Started with Squarespace,199
1/26/2016,chat,Logging in and managing your account,173
1/26/2016,chat,SEO and metrics,45
1/26/2016,email,Adding and editing pages and blocks,266
1/26/2016,email,All Topics,1662
